[1201/224112.562:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1201/232317.123:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[1202/053708.947:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[1209/234914.865:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1209/234917.851:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1209/234918.712:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1209/234919.880:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1209/234924.041:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1209/234928.394:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1209/234929.051:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1209/234929.114:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/000803.935:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/000806.941:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/000807.725:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/000808.945:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/000811.404:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/000811.953:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/000812.742:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/000813.961:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/000814.553:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/000816.408:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/000816.977:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/000830.956:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/000835.969:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/000840.981:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/000845.986:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/000850.995:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/000856.009:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/000901.019:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/000904.120:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/000906.034:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/000909.212:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/000909.212:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/000911.036:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/000913.037:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
